394	4	-9	-9	-999
395	-999	-999	-999	0
396	4	8	6	0
397	-999	-999	-999	0
398	3	9	5	1
399	-999	8	8	0
400	3	8	2	0
401	4	5	5	1
402	2	-9	-9	1
403	-999	-999	-999	1
404	4	7	5	1
405	2	4	7	-999
406	-999	-999	-999	1
407	2	3	8	0
408	-999	9	10	1
409	-999	6	11	1
410	4	-9	-9	0
411	4	-999	-999	0
412	-999	-9	-9	1
413	-999	-999	-999	1
414	-999	4	2	0
415	2	4	11	1
416	4	9	2	0
417	-999	7	4	1
418	3	-999	-999	0
419	-999	-999	-999	1
420	4	9	5	1
421	3	5	2	0
422	2	5	2	0
423	-999	-999	-999	1
424	-999	-999	-999	0
425	-999	9	5	0
426	-999	9	2	0
427	-999	8	3	0
428	-999	-999	-999	0
429	2	2	11	1
430	4	-999	-999	1
431	-999	-999	-999	0
432	3	-999	-999	1
433	3	4	3	1
434	2	9	7	1
435	2	3	3	0
436	3	8	6	-999
437	-999	6	11	1
438	-999	5	3	0
439	-999	-999	-999	0
440	4	7	4	1
441	2	-999	-999	1
442	1	-999	-999	0
443	-999	-999	-999	0
444	1	2	11	1
445	2	3	4	0
446	3	-999	-999	1
447	2	-9	-9	0
448	3	8	2	1
449	2	-999	-999	0
450	-999	4	10	1
451	-999	7	4	1
452	4	9	6	-999
453	2	-9	-9	1
454	-999	8	6	0
455	2	-999	-999	1
456	3	-999	-999	0
457	-999	1	2	1
458	-999	9	11	0
459	3	-999	-999	0
460	2	4	9	0
461	-999	9	10	0
462	-999	5	8	0
463	4	9	3	0
464	2	4	8	1
465	-999	-9	-9	1
466	4	5	5	1
467	-999	-999	-999	1
468	4	-999	-999	1
469	2	4	8	1
470	4	7	4	1
471	2	3	12	0
472	3	6	11	0
473	3	9	1	-999
474	4	9	1	0
475	-999	-999	-999	1
476	2	4	11	1
477	-999	-9	-9	1
478	1	-999	-999	1
479	2	7	4	1
480	-999	4	9	1
481	1	2	2	0
482	-999	-999	-999	1
483	-999	4	12	1
484	2	4	8	1
485	4	6	11	1
486	-999	-999	-999	0
487	3	5	2	0
488	-999	8	2	1
489	2	8	2	0
490	2	3	12	0
491	2	3	2	0
492	-999	5	3	0
493	-999	6	8	1
494	1	2	10	1
495	2	-9	-9	0
496	-999	2	3	0
497	-999	5	3	0
498	4	9	5	1
499	3	5	5	1
500	-999	4	9	1
501	2	-999	-999	0
502	-999	-999	-999	0
503	-999	-999	-999	0
504	-999	-999	-999	1
505	-999	-999	-999	0
506	1	1	4	1
507	-999	5	5	0
508	-999	-999	-999	0
509	3	4	9	1
510	3	6	10	-999
511	4	-999	-999	1
512	4	-999	-999	0
513	3	5	3	0
514	-999	7	4	1
515	-999	6	10	1
516	-999	1	6	0
517	2	6	8	1
518	-999	-999	-999	1
519	3	-999	-999	1
520	-999	-999	-999	1
521	3	-999	-999	1
522	-999	-999	-999	1
523	1	2	2	0
524	1	2	10	1
525	1	2	10	1
526	2	3	3	0
527	-999	2	10	0
528	-999	7	4	0
529	1	-999	-999	0
530	2	-999	-999	1
531	4	7	4	-999
532	4	6	9	1
533	4	-999	-999	1
534	-999	5	3	0
535	-999	5	3	0
536	-999	-999	-999	0
537	-999	-999	-999	1
538	-999	-9	-9	0
539	-999	2	2	0
540	1	-999	-999	0
541	2	-999	-999	0
542	4	9	10	1
543	-999	-999	-999	1
544	3	6	11	1
545	4	-9	-9	1
546	-999	9	10	0
547	4	-9	-9	-999
548	4	9	8	1
549	1	3	11	0
550	4	7	6	1
551	-999	-999	-999	1
552	4	-999	-999	1
553	-999	-999	-999	0
554	4	-999	-999	1
555	4	9	10	1
556	3	8	2	0
557	-999	5	3	0
558	-999	-999	-999	0
559	1	3	7	1
560	3	7	7	1
561	-999	-999	-999	1
562	2	1	8	-999
